Total production by all exporting countries In thousand 60kg bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country,1990/91,1991/92,1992/93,1993/94,1994/95,1995/96,1996/97,1997/98,1998/99,1999/00,2000/01,2001/02,2002/03,2003/04,2004/05,2005/06,2006/07,2007/08,2008/09,2009/10,2010/11,2011/12,2012/13,2013/14,2014/15,2015/16,2016/17,2017/18
Brazil,"27,286","27,293","34,603","28,167","28,192","18,060","29,197","26,148","36,761","47,578","31,310","31,365","48,352","28,873","39,281","32,935","42,987","38,987","50,490","43,977","53,428","50,592","55,420","54,698","52,299","50,388","55,000","51,500"
Ecuador,"1,504","2,124","1,185","2,069","2,376","1,888","1,993","1,191","1,206","1,198",854,793,582,641,780,935,"1,035",950,771,813,854,825,828,666,644,644,645,675
Indonesia,"7,441","8,493","5,569","6,743","5,368","4,573","8,221","7,621","7,296","6,557","6,987","6,833","6,731","6,404","7,536","9,159","7,483","7,777","9,612","11,380","9,129","10,644","11,519","11,265","11,418","12,317","11,491","10,800"
Madagascar,982,933,"1,122",442,641,785,849,624,992,427,362,147,445,435,522,599,587,614,728,457,530,585,500,584,501,425,415,425
Papua New Guinea,963,747,900,"1,019","1,139","1,002","1,089","1,074","1,352","1,387","1,041","1,063","1,085","1,155",998,"1,268",807,968,"1,028","1,038",867,"1,414",716,835,798,712,"1,171","1,100"
Peru,937,"1,200","1,762",665,"1,179","1,871","1,806","1,930","2,102","2,744","2,676","2,829","3,000","2,686","3,425","2,489","4,319","3,063","3,872","3,286","4,069","5,373","4,453","4,338","2,883","3,304","4,221","4,600"
Cameroon,"1,682","1,726",260,683,406,660,"1,432",889,"1,114","1,370","1,113",686,801,900,727,870,818,795,725,902,527,669,371,404,483,391,295,375
Colombia,"14,268","17,815","15,189","10,298","12,862","12,963","10,719","12,219","10,979","9,679","10,400","11,962","11,735","11,230","11,573","12,564","11,759","12,515","8,663","8,098","8,523","7,652","9,927","12,163","13,339","14,009","14,634","14,000"
Costa Rica,"2,562","2,760","2,998","2,359","2,482","2,844","2,222","2,617","2,445","2,485","2,419","2,247","2,043","1,886","1,876","1,653","1,706","1,797","1,500","1,477","1,614","1,831","1,823","1,552","1,475","1,440","1,372","1,560"
Côte d'Ivoire,"2,940","4,129","2,246","2,293","3,006","2,532","4,859","4,164","1,992","6,320","4,846","3,595","3,145","2,689","2,268","1,691","2,177","2,317","2,397","1,795",982,"1,966","2,072","2,107","1,750","1,882","1,234","1,500"
El Salvador,"2,465","2,198","3,001","2,378","2,293","2,585","2,534","2,175","2,055","2,598","1,704","1,694","1,361","1,380","1,197","1,319","1,234","1,505","1,450","1,075","1,873","1,164","1,240",515,665,565,610,740
Ethiopia,"2,909","2,925","1,825","2,967","2,763","3,165","3,407","3,057","2,928","3,784","3,115","4,044","4,094","4,394","5,213","4,779","5,551","5,967","4,949","6,931","7,500","6,798","6,233","6,427","6,575","6,714","7,297","7,650"
Guatemala,"3,271","3,497","4,318","3,536","3,787","4,002","4,525","4,219","4,893","5,120","4,940","3,669","4,070","3,610","3,703","3,676","3,950","4,100","3,785","3,835","3,950","3,850","3,763","3,189","3,310","3,410","3,684","3,800"
Honduras,"1,568","2,322","1,918","1,829","2,181","1,909","2,004","2,564","2,195","2,985","2,667","3,036","2,496","2,968","2,575","3,204","3,461","3,640","3,450","3,603","4,331","5,882","4,686","4,583","5,268","5,786","7,457","8,349"
India,"2,829","3,000","2,823","3,533","3,002","3,717","3,417","3,805","4,417","4,867","5,020","5,010","4,588","4,508","4,592","4,567","4,800","4,367","4,378","4,827","5,033","5,233","5,303","5,075","5,450","5,800","5,200","5,840"
Kenya,"1,485","1,514","1,316","1,328","1,663","1,664","1,247",882,"1,173","1,502","1,002",991,945,673,736,660,826,652,541,630,641,757,875,838,765,789,783,790
Mexico,"4,674","4,727","3,401","5,023","4,159","5,300","5,110","4,802","4,801","6,219","4,815","4,438","4,351","4,201","3,867","4,225","4,200","4,150","4,651","4,109","4,001","4,561","4,327","3,916","3,591","2,903","3,781","4,000"
Nicaragua,461,707,547,706,683,985,793,"1,084","1,073","1,554","1,572","1,079","1,170","1,509","1,068","1,432","1,428","1,906","1,445","1,871","1,638","2,193","1,873","2,060","1,898","2,134","2,573","2,500"
Thailand,757,"1,469","1,255","1,275","1,399","1,317","1,404","1,293",916,"1,273","1,692",715,732,827,884,"1,064",822,650,675,795,828,831,608,638,785,997,664,500
Uganda,"1,955","2,088","2,185","3,142","2,393","3,244","3,419","3,440","3,386","2,862","3,401","3,158","2,890","2,599","2,613","2,175","2,894","3,490","3,335","2,894","3,267","3,115","3,914","3,633","3,744","3,650","4,962","5,100"
Venezuela,"1,122",941,"1,215","1,333",989,"1,467","1,206",951,"1,597","1,367","1,450","1,265","1,484","1,421","1,327","1,506","1,571","1,520",932,"1,214","1,202",902,952,804,650,501,525,550
Vietnam,"1,310","1,438","2,340","3,020","3,632","3,970","5,752","6,979","7,052","11,631","14,841","13,093","11,574","15,337","14,370","13,842","19,340","16,405","18,438","17,825","20,000","26,500","23,402","27,610","26,500","28,737","25,540","28,500"
Domestic consumption by all exporting countries In thousand 60kg bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crop year,1990/91,1991/92,1992/93,1993/94,1994/95,1995/96,1996/97,1997/98,1998/99,1999/00,2000/01,2001/02,2002/03,2003/04,2004/05,2005/06,2006/07,2007/08,2008/09,2009/10,2010/11,2011/12,2012/13,2013/14,2014/15,2015/16,2016/17,2017/18
Brazil,"8,200","8,500","8,900","9,100","9,300","10,100","11,000","11,500","12,200","12,700","13,200","13,590","13,750","14,200","14,946","15,540","16,331","17,125","17,660","18,390","19,132","19,720","20,330","20,085","20,333","20,500","20,500","20,500"
Ecuador,350,350,350,350,350,350,300,300,300,230,200,200,150,150,150,150,150,150,150,150,150,150,150,155,155,155,155,155
Indonesia,"1,242","1,280","1,319","1,359","1,400","1,443","1,486","1,532","1,578","1,626","1,676","2,000","1,779","1,833","2,000","2,500","2,833","3,333","3,333","3,333","3,333","3,667","3,900","4,167","4,333","4,500","4,600","4,700"
Madagascar,350,300,350,360,167,167,167,167,167,56,89,128,217,333,467,467,467,467,467,467,467,450,430,410,390,370,360,350
Papua New Guinea,3,3,3,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2
Peru,190,190,200,200,200,200,200,200,200,200,200,200,220,220,220,220,220,220,250,250,250,250,250,250,250,250,250,250
Philippines,720,750,750,770,790,810,831,853,810,862,820,821,829,917,"1,020","1,040","1,060","1,060","1,720","1,820","2,125","2,175","2,325","2,550","2,800","3,000","3,000","3,000"
Cameroon,83,83,83,100,100,100,100,100,100,100,75,69,69,69,69,69,69,69,69,69,68,70,72,73,75,76,77,78
Colombia,"1,235","1,400","1,300","1,400","1,375","1,500","1,600","1,600","1,600","1,400","1,400","1,400","1,400","1,400","1,400","1,400","1,195","1,281","1,291","1,270","1,308","1,439","1,441","1,469","1,505","1,672","1,736","1,800"
Costa Rica,375,375,375,375,375,375,375,375,375,375,375,375,375,375,375,375,375,375,268,295,407,381,423,335,381,449,329,353
Côte d'Ivoire,50,50,50,50,50,50,50,50,50,50,317,317,317,317,317,317,317,317,317,317,317,317,317,317,317,317,317,317
El Salvador,180,180,230,230,230,270,230,192,192,153,144,153,153,153,173,224,254,251,244,268,276,273,277,275,280,285,292,300
Ethiopia,"1,200","1,264","1,331","1,402","1,476","1,555","1,637","1,724","1,816","1,912","2,014","2,121","2,234","2,353","2,478","2,609","2,748","2,894","3,048","3,210","3,383","3,383","3,400","3,550","3,625","3,700","3,725","3,700"
Guatemala,300,300,300,310,310,310,300,300,300,300,300,300,300,300,300,300,300,300,335,320,340,350,360,370,380,390,390,395
Honduras,188,257,240,230,253,161,168,161,138,168,230,200,200,200,230,230,230,245,268,307,335,340,345,350,355,365,370,375
India,903,917,917,833,833,833,833,833,833,917,"1,000","1,067","1,133","1,167","1,250","1,337","1,417","1,500","1,573","1,700","1,800","1,917","2,000","2,100","2,200","2,250","2,300","2,350"
Kenya,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
Mexico,"1,374","1,200","1,300","1,070","1,020","1,179","1,235","1,201","1,108","1,150","1,305","1,500","1,500","1,500","1,500","1,725","2,000","2,200","2,200","2,200","2,354","2,354","2,354","2,321","2,347","2,329","2,360","2,400"
