Crop year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Angola,79,74,68,28,12,48,51,54,55,40,20,11,12,13,5,5,5,6,8,3,5,9,8,5,9,11,15
Bolivia,112,83,101,37,86,110,105,109,101,123,113,64,89,65,110,69,104,73,75,82,70,83,55,68,46,29,21
Brazil,"17,863","21,808","16,752","18,761","15,958","13,760","17,260","15,352","21,085","21,186","18,577","23,767","29,613","24,909","27,468","25,078","28,486","28,044","30,292","30,255","34,054","32,149","29,285","32,761","36,876","36,928","33,467"
Burundi,412,762,672,353,580,464,186,546,392,438,407,217,431,324,477,232,373,277,351,173,351,202,406,159,246,274,256
Ecuador,"1,628","1,472","1,288","1,589","2,156","1,438","1,513","1,111",966,983,702,713,585,628,761,"1,001","1,025",962,859,"1,156","1,274","1,553","1,578","1,210","1,089",839,890
Indonesia,"6,720","5,584","5,115","5,302","4,226","4,350","6,772","5,509","5,719","4,846","5,614","5,173","4,280","4,821","5,822","6,795","4,770","4,418","5,667","7,990","5,948","6,186","11,258","9,954","6,679","7,985","6,891"
Madagascar,726,679,720,521,475,632,667,433,823,404,201,74,194,122,85,123,131,155,150,45,89,135,90,174,111,55,55
Malawi,104,122,129,75,87,81,58,58,62,52,68,59,43,47,20,21,17,20,20,16,16,25,22,27,24,20,17
Papua New Guinea,"1,013",795,943,"1,028","1,135","1,000","1,082","1,079","1,342","1,328","1,050","1,073","1,076","1,152","1,011","1,253",811,970,"1,064","1,049",880,"1,418",715,833,796,710,"1,169"
Paraguay,169,85,49,55,38,15,16,8,42,3,1,2,10,38,10,23,16,25,0,0,0,0,0,0,0,0,0
Peru,"1,004",971,"1,162",845,939,"1,831","1,528","1,710","1,912","2,474","2,419","2,638","2,838","2,480","3,305","2,272","4,113","2,658","3,823","2,999","3,832","5,054","3,931","4,110","2,443","3,064","3,971"
Rwanda,659,482,642,447,22,318,288,204,219,307,272,294,308,267,458,276,393,223,357,267,328,250,261,257,237,291,219
Timor-Leste,,,,,,,,,,,7,33,37,42,17,24,46,36,48,47,60,47,60,80,110,59,60
Zimbabwe,286,214,115,57,98,114,180,126,135,121,105,117,106,88,116,62,46,32,20,17,6,5,3,5,11,10,12
"Congo, Rep. of",1,0,1,,16,9,11,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cuba,178,159,116,132,125,123,114,112,104,118,96,92,58,30,33,15,18,5,7,6,6,13,15,11,11,20,13
Dominican Republic,480,341,422,287,395,554,340,405,152,199,124,90,151,78,41,93,84,80,113,56,67,110,113,55,19,20,24
Haiti,190,133,170,121,123,172,113,105,112,62,83,63,37,34,27,24,22,19,19,11,10,9,10,5,3,1,1
Philippines,133,58,22,99,88,30,28,37,11,4,3,6,8,18,40,31,42,13,7,5,10,5,2,11,18,8,15
Tanzania,970,808,954,879,614,935,768,606,725,759,816,657,820,581,726,754,764,768,"1,116",648,795,567,"1,062",750,678,828,777
Zambia,22,27,29,26,20,26,32,38,61,58,93,99,118,100,110,102,55,60,34,28,13,11,5,11,3,4,8
Benin,,,2,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cameroon,"1,857","1,738",927,625,384,505,"1,376",787,"1,027","1,272","1,145",617,732,831,658,779,742,549,540,822,569,579,324,332,398,310,223
Central African Republic,143,92,156,146,235,97,201,107,194,188,104,100,38,68,42,20,119,37,60,88,87,78,1,75,43,80,41
Colombia,"12,212","15,467","14,529","12,685","9,342","10,785","11,176","10,911","10,292","9,036","9,437","10,625","10,478","10,154","11,005","10,751","11,177","11,557","8,716","7,196","8,064","7,299","8,842","10,842","12,281","12,302","13,488"
"Congo, Dem. Rep. of","1,479","1,026",995,705,"1,078",915,592,601,542,353,151,165,195,273,169,136,178,216,173,163,132,158,134,148,135,171,124
Costa Rica,"2,410","2,275","2,662","2,074","1,898","2,481","2,065","2,158","2,092","1,984","2,111","1,881","1,676","1,505","1,510","1,318","1,371","1,402","1,301","1,170","1,209","1,384","1,380","1,237","1,145",995,"1,007"
Côte d'Ivoire,"4,334","3,857","5,115","2,715","2,253","2,900","3,905","5,049","2,264","5,834","4,270","3,388","2,608","2,604","1,925","1,808","2,018","1,665","1,616","2,029",958,"1,644","1,739","1,702","1,438","1,543",967
El Salvador,"2,018","2,176","2,991","2,083","1,660","2,256","2,838","1,885","1,812","2,490","1,715","1,473","1,320","1,347","1,312","1,269","1,194","1,430","1,343",979,"1,904","1,055","1,145",497,595,495,506
Equatorial Guinea,2,5,2,1,3,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethiopia,849,669,"1,160","1,332","1,321","1,777","1,853","2,090","1,757","2,005","1,418","1,939","2,277","2,374","2,620","2,702","2,770","2,806","1,868","2,904","3,022","2,832","3,166","3,044","2,872","3,092","3,497"
Gabon,2,2,3,1,7,1,1,2,3,0,2,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0
Ghana,15,26,42,28,35,8,28,18,87,80,72,12,38,19,20,11,21,36,19,32,93,94,81,43,17,11,12
Guatemala,"2,803","3,288","4,018","3,139","3,564","3,713","4,224","3,890","4,593","4,901","4,414","3,330","3,965","3,306","3,457","3,348","3,747","3,822","3,456","3,446","3,654","3,721","3,707","3,121","2,925","3,020","3,294"
Guinea,54,66,16,27,148,54,104,122,355,280,350,183,278,346,266,496,427,276,361,462,358,381,189,51,115,196,169
Guyana,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,2,2
Honduras,"1,427","1,800","1,897","1,661","1,637","2,054","1,825","2,299","2,086","2,857","2,470","2,617","2,439","2,794","2,395","2,929","3,215","3,395","3,021","3,161","3,866","5,474","4,340","4,173","5,020","5,140","7,290"
India,"1,511","2,024","1,817","2,907","2,070","3,572","2,476","3,685","3,427","4,297","3,705","3,441","3,567","3,826","2,790","3,410","3,393","3,389","2,954","4,274","5,594","5,172","4,859","5,095","5,115","5,861","6,371"
Jamaica,16,20,26,17,24,27,27,20,21,30,29,28,25,27,21,21,22,24,25,16,17,15,15,11,12,11,9
